,Has Online delivery,Is delivering now,Price range,Votes,Num_of_Cuisines,Dollar_Standard_Avg_Cost_2,Australia,Botswana,Brazil,Canada,India,Indonesia,New Zealand,Qatar,Singapore,South Africa,Sri Lanka,Turkey,UAE,UK,USA,Val_Mon
2144,1,0,2,101,7,7.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.8
2145,1,0,2,34,3,9.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.25
2146,1,0,1,53,1,4.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.2
2147,0,0,1,10,1,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9677419354838709
2148,0,0,2,5,1,6.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.9354838709677418
2149,1,0,2,12,2,7.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.25
2150,0,0,1,4,2,4.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.5999999999999999
2151,1,0,2,7,1,6.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.222222222222222
2152,1,0,2,35,1,8.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.709677419354839
2153,1,0,2,117,1,7.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.2941176470588234
2154,1,0,2,67,2,8.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.4705882352941178
2155,0,0,1,26,1,2.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.7272727272727273
2156,0,0,1,33,1,4.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.5999999999999999
2157,0,0,2,59,4,6.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.8181818181818183
2158,0,0,2,11,3,7.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.769230769230769
2159,1,0,3,21,2,14.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.235294117647059
2160,1,0,1,15,1,3.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.125
2161,1,0,2,41,2,10.200000000000001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.8333333333333335
2162,1,0,2,67,2,7.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.0
2163,1,0,1,41,2,3.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.6363636363636362
2164,1,0,2,27,1,8.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.1
2165,0,0,4,57,2,30.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.090909090909092
2166,0,0,4,17,1,28.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.6
2167,0,0,4,52,3,24.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.5
2168,0,0,4,4,3,30.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10.0
2169,0,0,3,19,4,18.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.666666666666666
2170,0,0,2,6,2,9.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.1999999999999997
2171,0,0,3,10,1,19.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.3999999999999995
2172,0,0,4,17,1,36.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11.25
2173,0,0,4,94,3,30.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.333333333333334
2174,0,0,2,96,2,7.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.3636363636363638
2175,0,0,4,272,3,36.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.230769230769232
2176,0,0,4,390,1,36.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.473684210526317
2177,0,0,4,394,2,36.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.230769230769232
2178,0,0,4,22,1,36.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10.588235294117647
2179,0,0,4,45,1,36.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.72972972972973
2180,0,0,4,36,1,24.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.272727272727273
2181,0,0,4,27,1,36.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10.285714285714286
2182,1,0,1,16,3,4.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.2972972972972971
2183,0,0,4,13,4,30.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.571428571428571
2184,0,0,4,127,3,30.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.894736842105264
2185,0,0,2,6,3,8.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.709677419354839
2186,0,0,4,27,1,24.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.888888888888888
2187,0,0,2,23,3,7.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.5714285714285716
2188,0,0,1,6,1,2.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.7741935483870968
2189,1,0,1,12,1,2.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.7272727272727273
2190,1,0,3,7,2,12.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.444444444444444
2191,0,0,2,13,2,7.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.689655172413793
2192,0,0,2,11,3,9.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.096774193548387
2193,0,0,2,17,2,6.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.9354838709677418
2194,1,0,2,7,2,8.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.545454545454546
2195,1,0,1,10,2,4.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.5999999999999999
2196,0,0,2,10,1,6.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.8181818181818183
2197,0,0,1,4,1,1.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.6206896551724138
2222,1,0,1,82,1,4.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.5483870967741935
2223,1,0,2,302,3,7.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.0571428571428574
2224,0,0,2,276,1,9.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.4324324324324325
2227,0,0,2,7,2,6.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.0689655172413794
2228,0,0,2,8,2,7.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.5714285714285716
2229,0,0,1,10,1,5.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.7419354838709677
2230,0,0,2,31,3,7.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.25
2231,0,0,2,5,1,7.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.4827586206896552
